id,area,date,weather,landform,landform-text,landcover,landcover-text,landuse,landuse-text,boundaries,boundaries-text,sizes,sizes-text,routeways,routeways-text,structures,structures-text,water,water-text,enclosure,enclosure-text,views,views-text,landmarks,landmarks-text,scenic-text,activities-text,positive-text,negative-text
87,"WEST OF CHANDAG ROAD INCLUDING LIMEKILNS CLOSE AND SEVERN WAY PLUS PROPERTIES ON BATH ROAD, CHANDAG ROAD AND WELLSWAY",2013-11-27,"overcast",strongly-undulating,"IN THE CENTRAL PART TO THE NORTH THERE ARE OTHER MORE GENTLE SLOPING DOWN TO THE NORTH.",,,brownfield,,,,,,few-roads narrow,,groups-of-dwellings,"THE CORE DEVELOPMENT IS WELL DESIGNED IN ATTRACTIVE RED BRICK",,,enclosed,,,"THERE ARE LONGER VIEWS TO THE EAST OVER THE RIVER CHEW OTHERWISE OTHER VIEWS ARE LIMITED",,"THERE IS A GARAGE AND ELECTRICAL SUBSTATION ON THE NORTHERN PERIMETER. THERE IS A DOCTORS SURGERY AND CRICKET FIELD TO THE SOUTH, IN THE PAST THERE WAS A BUILDERS YARD IN THE CENTRE WITH HOUSING ON THE PERIMETER PRIOR TO DEVELOPMENT","THE CENTRAL AREA IS TRANQUIL WITH EFFECTIVE SCREENING REDUCED IN WINTER. THERE ARE PERIMETERS ADJACENT TO THE BUSY ROADS EXCEPT IN THE SOUTH","LARGELY RESIDENTIAL - MOSTLY RECENTLY IN THE MIDDLE OF THE SITE AREA","AVAILABILITY OF GOOD QUALITY HOUSING IN A PLEASANT ENVIRONMENT","NO REAL NEGATIVES OTHER THAN TRAFFIC PRIMARILY ON THE BATH ROAD NORTH AND WELLSWAY TO THE WEST B3116"
60,"CARPENTERS LANE INCLUDING SHERWOOD CLOSE",2014-03-06,"dry",flat,,,"RESIDENTIAL",brownfield,,,,,,,,groups-of-dwellings,,,,enclosed intimate,,,"NO REAL VIEWS",,,"TRANQUIL AND SAFE ESTATE","SOCIAL ACTITIVITIES IN THE COMMUNAL MEETING ROOM - SINGING, CRAFTS ETC","GOOD SHELTERED HOUSING ACCOMMODATION CLOSE TO TOWN CENTRE AMENITIES","NO SHELTER FOR THE MANY MOBILITY SCOOTERS ON THE ESTATE. THESE ARE STORED INDIVIDUALLY AT THE FRONT OF PROPERTIES UNDER COVERS."
9,"STOCKWOOD VALE 2",,"overcast",,"THE LAND IS FLAT WITH ONE BOUNDARY AND HAS A STEEP SLOPE TO THE VALLEY FLOOR",,"THERE IS SOME FARMLAND, SOME TREES AND A GOLF COURSE",,"THE LAND USE IS GRASSLAND AND A GOLF COURSE",,"FIELD BOUNDARIES ARE HEDGEROWS, TREES AND WALLS",,"THE FIELDS ARE OF MEDIUM SIZE AND IRREGULAR SHAPES",,"THERE IS ONE ROAD WHICH IS NARROW AND A FEW PRIVATE TRACKS.",,"THERE IS A GOLF CLUBHOUSE, A FEW ISOLATED FARM BUILDINGS AND SMALL GROUP OF DWELLINGS",,"THERE IS A STREAM ON THE BOUNDARY",,"THE LAND IS OPEN, EXPOSED AND LARGE",,"THERE ARE LONG SWEEPING VIEWS TOWARDS KEYNSHAM AND BEYOND",,"THE KELSTON-ROUNDHILL AND ST. JOHN'S CHURCH KEYNSHAM CAN BE SEEN FROM THE MAP AREA.","THE SITE IS A VERY TRANQUIL AREA OF GREEN COUNTRYSIDE","MAINLY PLAY GOLF - WHICH I PLAY!!","I PLAY GOLF THERE AT LEAST ONCE A WEEK, IT IS A LOVELY SETTING WITH EXTENSIVE VIEWS.",
34,"TINTAGEL ESTATE INCLUDING QUEENS ROAD METHODIST CHURCH",2014-03-03,"dry",flat,,parkland,"RESIDENTIAL",brownfield,,,,,,few-roads,,groups-of-dwellings wires,,,"NONE",open,,place landmark,"ACROSS TO OTHER HOUSING ESTATES",,,"CAN BE CHAOTIC AND COMPLEX DUE TO THE SOCIAL ASPECTS OF THE RESIDENTS OF THE AREA","GOOD PLAY FACILITIES. LOCAL YOUTH SERVICE PROVIDE FOOTBALL COACHING AND GAMES FOR THE CHILDREN IN THE SCHOOL HOLIDAYS","YOUNG CHILDREN/TEENAGERS HAVE THE USE OF AN OPEN GREEN SPACE, PLAYGROUNDS AND A BMX TRACK, CLOSE TO AMENITIES SCHOOLS AND SHOPS","DEPRIVED AREA KNOWN FOR PROBLEMS WITH GRAFFITTI AND ANTI SOCIAL BEHAVIOUR. THE BUILDINGS ARE A BIT NEGLECTED AND NOT LOOKED AFTER THAT WELL BY THE RESIDENTS. THE PUBLIC SPACE SUFFERS FROM LITTER ALTHOUGH BINS ARE PROVIDED"
5,"KEYNSHAM RUGBY CLUB",,"",flat,,wetland,,,"SPORTS FIELDS",fences,"ALONG THE BY PASS SIDE",,"REGULAR SIZE SPORTS FIELDS",,,groups-of-dwellings,"THERE ARE 1 TO 2 CLUB HOUSES. THE FOOTBALL CLUB HAS BEEN EXTENDED",stream,"PRONE TO SEVERE FLOODING",open large,,glimpsed,"CADBURYS FACTORY, THE EMBANKMENT GIVES LIMITED VIEWS",,,"RUGBY OPEN FIELDS IN RELATIVE HARMONY WITH ENVIRONS, FOOTBALL ENCLOSED FIELD","LEISURE SPORTS ETC.","IMPORTANT LEISURE FACILITY","LIMITED SEASONAL FLOODING ON RUGBY FIELDS"
1,"HICKS GATE ROUNDABOUT WEST",2013-11-19,"bright & dry",gently-undulating steep-valley,,open-farmland,,grazing,,hedgerow with/without-trees,,,,tracks,,pylons,"THE PYLONS STAND OUT",,"SMALL WATERCOURSE - SCOTLAND STREAM WEST TO EAST, RIVER AVON IN HANHAM GORGE IS THE NORTH BOUNDARY",,,,,natural-features,"SIZEABLE QUARRY (DISUSED) EDGE OF HANHAM GORGE","UNSPOILT (APART FROM THE PYLONS) OPEN COUNTRYSIDE - NORTH EAST BOUNDARY EDGE OF BRISTOL","OPEN FARMLAND - FEW FOOTPATHS, RIVER AVON WITH FOOTPATH","UNSPOILT COUNTRY - HANHAM GORGE IS A UNIQUE FEATURE","AREA BOUNDED BY A4 & THE RING ROAD. THE NORTH EASTERN EDGE IS URBAN BRISTOL"
69,"LAND NORTH OF THE RAILWAY LINE INCLUDING KEYNSHAM STATION, THE BRASSMILL, WANSDYKE WORKSHOPS AND THE SEWAGE WORKS",2013-04-06,"overcast showery",flat,,,"INDUSTRY WITHIN THE GREEN BELT",grassland industrial brownfield,,clipped,,large irregular,,tracks,,groups-of-dwellings,,stream river,,open exposed,,sweeping,"VIEWS THE KELSTON HILLS",,,"NOT IN BALANCE - THE COMMERCIAL WITHIN THE GREEN BELT LANDSCAPE BUT IT DOES KEEP THE SEWAGE WORKS AWAY FROM RESIDENTIAL PROPERTIES","SOCIALISING AT THE PUB - BRASSMILL, RIVER ACTIVITIES - BOATING","CLOSE TO THE RIVER IN THE GREEN BELT","THE SEWAGE WORKS AND RECYCLING CENTRE ALTHOUGH A NECESSITY DO NOT ADD ANYTHING TO THE AMBIANCE OF THE GREEN OPEN SPACE UP TO THE RIVER"
35,"NORTH OF CORONATION AVENUE INCLUDING SOME PROPERTIES ON CAERNAVON PLUS DARTMOUTH WALK, KENILWORTH CLOSE, DURHAM GROVE, WARWICK ROAD, RICHMOND CLOSE & FARLEIGH",2014-03-03,"dry",gently-undulating,,,"RESIDENTIAL",brownfield,,,,,,few-roads,,groups-of-dwellings wires,,,"NONE",enclosed,,glimpsed,,,"ST. FRANCIS CHURCH WITH ITS GREEN COPPER TOWER. SEE PHOTO BELOW","QUITE A PLEASANT AREA","LIVE AND PLAY. GOOD GREEN OPEN (SMALL) SPACES","SITE AREA IS DIVIDED INTO SMALL CLUSTER GROUPSOF TERRACED OR SEMI DETCHED PROPERTIES - A GOOD COMMUNITY FEEL, CLOSE TO SCHOOLS, CHURCHES AND AMENTIES ON QUEENS ROAD","OLDER STOCK OF PROPERTIES - MAINLY OF A SIMILAR STYLE LACKING A BIT OF CHARACTER"
99,"WEST OF MEDWAY DRIVE INCLUDING MEDWAY CLOSE, DENE CLOSE PLUS PROPERTIES ON HURN LANE AND MANOR ROAD",2014-02-13,"cold, sunny periods & clouds",gently-undulating,,,"HOUSING",,,,"NO FIELDS",,,dense-road-network,,,"URBAN DWELLINGS",,"NONE APART FROM IN GARDENS",tight,,glimpsed,,,"NONE","UNIFORM, QUITE EXPENSIVE HOUSING. SOME NICE SEASONAL CHRISTMAS LIGHTS","GARDEN, WALK DOGS, HAVE FAMILIES","SEE BEFORE","SEE BEFORE"
44,"KEYNSHAM ALLOTMENTS - PARK ROAD",,"overcast & light showers",,"SLOPES FROM ONE BOUNDARY TO THE GATE END OF THE BOUNDARY",,"THE SITE IS DIVIDED INTO 140 ALLOTMENTS",,"VIRTUALLY ALL ALLOTMENTS ARE WORKED.",tall clipped intermittent hedgerow with/without-trees fences walls,,,,,"FARMLAND, VEHICLE TRACKS ALLOW ACCESS, TO ALLOTMENTS (SEE DIAGRAM), CHEW NEW HOUSING, VALLEY ESTATE, GATE",isolated farms groups-of-dwellings wires,"ALL THESE ELEMENTS SURRUND THE ALLOTMENTS",,"HEAVY RAINS CAUSES FLOODING TO A NUMBER OF ALLOTMENTS NEAR THE SOUTH BOUNDARY",enclosed,,,"EAST - VIEWS ACROSS CHEW VALLEY TO WELLSWAY, SOUTH - FARMLAND, WEST - HOUSING (NEW ESTATE), NORTH - HOUSING",,"AMMONITES ARE OFTEN FOUND ON THE SITE","BIRD LIFE, TRANQUILITY","ACTIVITY - GROWING FRUIT AND VEGETABLES","THE OPEN SPACE AND TRANQUILITY","THE NEW HOUSING DEVELOPMENT. THIS MAY IMPROVE WHEN THE WORK IS COMPLETE."
27,"WEST OF LOCKINGWELL ROAD INCLUDING PROPERTIES IN ORCHARD CLOSE, WHEATHILL CLOSE, HEATHFIELD CLOSE PLUS BROADLANDS HOUSE AND KEJUPARI (THE FARM)",2013-11-20,"sunny",flat valley-side,,farmland-with-trees/woods,,grazing,,hedgerow,,small,,tracks,,,,,,open,,sweeping,"VIEWS ACROSS TO STOCKWOOD VALE",,,"JUST A FIELD",,"IT IS ACCESS TO FOOTPATHS","NOT APPLICABLE"
97,"TEVIOT ROAD PLAY AREA",2013-11-20,"dry",flat,,parkland,,,"LEISURE & AMENITY",hedgerow,,medium,,tracks,,groups-of-dwellings,"HOUSES SET BACK BEHIND HEDGES",stream,,enclosed small,,glimpsed,,,"THE PLAY AREA IS NEXT TO WELLSWAY SCHOOL",,"LEISURE I.E. BALL GAMES","THE PLAY AREA IS WELL USED (EQUIPMENT FOR YOUNGER CHILDREN), ALSO EQUIPMENT FOR OLDER YOTH SEPERATED FROM THE PLAY AREA.","LITTER IN HEDGEROWS, BROKEN FENCING"
103,"MANOR ROAD PLAYING FIELD",2013-10-31,"cloudy",,"FLAT & GENTLY UNDULATING",,"PARKLAND",,"SPORTS & AMENITY I.E. FOOTBALL, CRICKET, DOG WALKING, JUST CHILLING ON THE GRASS",,"HEDGEROWS, FENCES & WALLS",,,,"THERE ARE A FEW ROADS NEARBY",,"PAVILLION & ELECTRIC METER SHED",,"NATURAL DRAINAGE",,"OPEN LARGE SCALE SITE",,"SWEEPING VIEWS",,"PAVILLION AND SOME LARGE TREES","CAN BE TRANQUIL WHEN NO ONE IS AROUND","VALUE OF THE AREA IS COMMOMLY USED FOR RECREATION, FOOTBALL, PICNICS & TEENAGE MEETING PLACE","SPECIAL QUALITIES ARE IT VERY WELL USED BY LOCALS FOR DOG WALKING AND LEISURE I.E. KITE FLYIN, CRICKET, FOOTBALL","BARBEQUES, TEENAGERS LEAVING LITTER & BOTTLES ON PLAYING FIELD & DOG FAECES"
32,"ST. KEYNA PRIMARY SCHOOL AND ST. KEYNA NURSERY SCHOOL PLUS A FEW PROPERTIES ON CHARLTON ROAD AND KELSTON ROAD",2014-01-16,"drizzle",gently-undulating,,,,,"SCHOOL & HOUSING",intermittent fences,,,,dense-road-network,,village(s)/town,,,"UNDERGROUND STREAM. PRONE TO FLOODING ALTHOUGH MITIGATED AGAINST",open,,short,,buildings,,"LANDSCAPE DESIGNS - PLANTS & GREENERY","WORK & LEISURE - SCHOOL","NICE NEW BUILDINGS - SCHOOL & NURSERY, LARGE HOUSES","NOTHING NEGATIVE"
100,"NORTH OF MANOR ROAD INCLUDING WAVENEY ROAD, EVENLODE WAY, CONWAY GREEN PLUS PROPERTIES OFF HURN LANE, MEDWAY DRIVE AND ON MANOR ROAD",2013-11-15,"light and dry",,,,"URBAN",,"NOT APPLICABLE",,"NOT APPLICABLE",,"NOT APPLICABLE",,"NOT APPLICABLE",,"NOT APPLICABLE",,"NONE",,,,,,"NONE","QUIET URBAN AREA","MAINLY RETIRED AND SLEEPY","QUIET TIDY STREETS","ON STREET PARKING ISSUES"
42,"GREEN BELT EAST OF CHARLTON RD TO THE SOUTH TO WELLFIELD HOUSE AND TO THE EAST OF THE TRACK THAT LEADS TO CHEWTON ROAD",2013-12-12,"",gently-undulating,"SLOPING TO THE EASTERN CORNER OF THE SITE AREA",,"THIS IS A VERY LARGE AREA OF GREEN BELT COUNTRYSIDE WITH ONLY 5 ISOLATED DETACHED HOUSES OF VARYING SIZES AND CONSTRUCTION WITH ASSOCIATED FARM BUILDINGS AND STABLING - NO PHOTOGRAPHS OF HOUSING, VIEW INTO THE SITE FROM THE EAST - PHOTOGRAPH BELOW",grassland grazing,,intermittent hedgerow with/without-trees fences walls,,medium irregular,,,"NARROW SINGLE TRACK ROAD AND BRIDLEWAY",isolated farms barns,"WITH ASSOCIATED FARM BUILDINGS AND STABLING, NEXT PAGE AERIAL IMAGERY OF MAP AREA - SHOWING FARM BUILDINGS AND ISOLATED HOUSES",,,open,,sweeping,"VIEWS TO THE SOUTH AND EAST, VIEW INTO THE SITE FROM THE WEST SHOWN BELOW",,,"FARM NOISES ON SITE AND DISTANT KENNEL NOISES (FROM LATCHETS KENNELS ON REDLYNCH LANE - CHEWTON KEYNSHAM) WHICH DISTURBS THE TRANQUILITY","THE WHOLE AREA IS GIVEN OVER TO GRASSLAND AND GRAZING","VERY RURAL, SEE FURTHER VIEW BELOW LOOKING IN FROM THE EAST","DOGS BARKING FROM THE KENNELS (MENTIONED ABOVE)"
15,"SOUTH OF BRISTOL ROAD INCLUDING THE REDWOODS & THE CROWN PUBLIC HOUSE",,,steep-valley,"BORDERS THE RIVER PLAIN TO THE NORTH WHICH IS PRONE TO FREQUENT FLOODING, AREA FORMS THE LOWER/BASE OF THE VALLEY SIDE",,"THERE ARE RESIDENTIAL PROPERTIES WITH LARGE OPEN GARDENS OVERLOOKING THE SPORTS FACILITIES",,"RESIDENTIAL & PUBLIC HOUSE",,"NOT APPLICABLE",,"NOT APPLICABLE",,"MAIN (A4) TRUNK ROAD WITH ONE PRIVATE CUL-DE-SAC AND FOOTPATH UP THE WESTERN EDGE LEADING TO THE SCHOOL AT THE TOP",groups-of-dwellings pylons wires,"WIRING IS INCONGRUOUS & UGLY",stream,"RUN OFF STEEP-SIDED SOUTHERN EDGE OF THE AREA. GOOD DRAINAGE INCLUDED IN THE RENDER WALL AT THE BACK OF PUBLIC HOUSE PARKING",enclosed,"NEWER HOUSES (55 - 61) ARE TIGHTLY PACKED, OLDER HOUSING HAVE LARGERS GROUNDS AND ARE ENCLOSED BEHIND NATURAL VEGETATION AND WALLS",sweeping,"SWEEPING VIEWS FROM THE OLDER HOUSING. THE NEW HOUSING LOOKS ONTO OTHER BUILDINGS",history archaeology,"THERE ARE VIEWS OF THE ALMS HOUSES, VIEWS UP TO ST. JOHN'S CHURCH, THE FLOOD PLAIN, BY-PASS, BRUNEL RAILWAY LINE & HANHAM WOODS ARE VISIBLE TO THE NORTH","IT IS NOT TRANQUIL. THERE IS TRAFFIC NOISE AND SMELLS. THERE ARE SOME GOOD TREES VISIBLE THAT ARE COLOURFUL. THERE ARE VIEWS TO THE NORTH","THE AREA IS MAINLY RESIDENTIAL, THERE IS ONE COMMENRICAL OFFICE BLOCK (ALIDE), ONE PUBLIC HOUSE (LICENCED PREMISES - THE CROWN)","PLEASANT & AFFLUENT CHARACTER FOR THOSE ENTERING TOWN FROM THE WEST. GOOD TREE POPULATION","CONSTANT TRAFFIC, INCLUDING HGV & BUSES. THE PATHWAY IS RELATIVELY NARROW AND FEELS QUITE EXPOSED TO THE TRAFFIC, THERE IS LITTER FROM VARIOUS SOURCES."
65,"EAST OF PARK ROAD INCLUDING WINDSOR, BALMORAL ROAD, EDINBURGH ROAD, COMPTON GREEN, TAMWORTH AND ST. CLEMENT'S COURT PLUS ELIM CHURCH BUT NOT INCULDING PARK ROAD PLAY GROUND",2014-03-06,"dry",gently-undulating,,,"RESIDENTIAL",brownfield,,,"FIELD BOUNDARY BETWEEN ASSESSMENT SITE AND THE GREEN BELT IS HEDGING TREES AND STONE WALLS (SEE PHOTO)",,,few-roads,,groups-of-dwellings wires,,,,enclosed,,sweeping glimpsed,"SWEEPING ACROSS THE GREEN BELT FROM ST. CLEMENTS, GLIMPSED FROM TAMWORTH",,,"LOVELY QUIET PART OF TOWN YET CLOSE TO AMENITIES","NEARBY COUNTRYSIDE USED FOR WALKING, DOG WALKING AND SELDGING IN WINTER. ALLOTMENTS CLOSE BY","CLOSE TO AMENTITIES AND OPEN COUNTRYSIDE, INCLUDES SMALL PLAYGROUND ON PARK ROAD (SEE ASSESSMENT 66)","NO REAL NEGATIVES"
37,"WEST OF CAERNARVON ROAD INCUDING PROPERTIES ON CAERNARVON ROAD & CHARLTON ROAD, LINCOLN CLOSE, HARLECH CLOSE AND CAERNAVON CLOSE",2014-02-08,"wet",,"SLOPES INCLINED",,"HOUSES, ROADS AND SMALL GREEN SPACES",,"HOUSING",,"NO FIELDS, BOUNDARIES RAILINGS, WALLS & HEDGES",,,,"FEW ROADS",,"HOUSES AND FLATS",,,,"MIXED",,"NONE",,"NONE HOUSES/FLATS","RESIDENTIAL","RESIDENTIAL DWELLINGS","PLACES TO LIVE, NEAR TO SHOPS.","ANTI SOCIAL BEHAVIOUR, VANDALISM TO CARS"
21,"BRISTOL GREEN BELT 2 FROM LAYS FARM TO COMPTON DANDO PARISH BOUNDARY",2014-01-25,"dry & bright",,"CHIEFLY FLAT - BOUNDARY WITH COMPTON DANDO PARISH, NORTH EAST BOUNDARY IS THE START OF THE SLOPE TO STOCKWOOD BROOK",open-farmland,"OPEN PASTURE - FEW TREES FORMING PART OF HEDGEROWS",grazing,"CURRENTLY WESTERLY FIELDS NEAREST TO LAYS FARM - SHEEP GRAZING",hedgerow with/without-trees fences,"MIX OF POST & WIRE, TREES AND HEDGEROWS - MOSTLY HAWTHORN",medium regular,"MIXTURE OF SIZES",tracks,"ONE FOOTPATH GOING WEST TO QUEEN CHARLTON OR STOCKWOOD VALE. USEABLE FOR TRACTORS",,"NONE",ponds,"DRAINS TOWARDS STOCKWOOD BROOK TO THE WEST",open,,sweeping,"LANSDOWN IN THE EAST, MAES KNOLL TO THE WEST SURPRISNGLY, QUEEN CHARLTON CHURCH IS NOT QUITE VISIBLE",,"NOT REALLY","PEACEFUL QUIET COUNTRYSIDE REACHED BY CHURCH HILL ROAD ON THE EAST","DOG WALKING AND HIKING","QUIET AND OPEN","LIMITED PUBLIC ACCESSES, UNAUTHORISED TRAVELLERS SITE VISIBLE TO THE SOUTH"
75,"LAND EAST OF PIXASH LANE INCLUDING B&NES RECYCLING DEPOT, WORLDS END LANE, PROPERTIES LONGREACH AND DOWNFIELDS, THE PETROL FILLING STATION, BROADLEAZE NURSERY PLUS PROPERTIES ON BATH ROAD",2014-02-16,"sunny but cold",flat,,open-farmland farmland-with-trees/woods,,grazing industrial,,intermittent hedgerow trees,,medium large irregular,,few-roads tracks straight narrow,,,,ponds,"LARGE POND ON THE EASTERN SIDE OF THE SITE",open,,sweeping long place,"ACROSS TO THE KELSTON HILLS",,"BROADLEAZE HORTICULTURAL NURSERY","PEACEFUL ON THE OUTSKIRTS OF THE SITE DUE TO PROXIMITY TO THE GREEN BELT, LOVELY VIEWS OF OPEN COUNTRYSIDE","WALKING IN THE LOCAL LANDSCAPE","LOVELY RESTFUL AREA AWAY FROM THE BUSY A4 WHICH IS CLOSE BY.","ACCESS INTO THE SITE IS POOR."
107,"NORTH OF COURTENAY ROAD INCLUDING WAYFORD CLOSE, MARTOCK CLOSE, HUTTON CLOSE, TILLEY CLOSE, RHODE CLOSE, BANWELL PLUS PROPERTIES ON LYTES CARY AND COURTENAY ROAD",2014-02-13,"coudy windy, cold, light rain",,"SLOPING DOWNWARDS TOWARDS THE NORTH",,"FOREST ON THE EASTERN BORDER",,"HOUSING",,,,,dense-road-network,,town,,,"NONE APART FROM PONDS IN GARDENS",tight,,,"KELSTON ROUNDHILL VISIBLE FROM MOST PARTS OF THE AREA",natural-features,"KELSTON ROUNDHILL","URBAN ENVIRONMENT","GARDENING, ORNITHOLOGY, RAISING FAMILIES, WALKING","PLEASANT, MODERN HOUSING, GENERALLY TIDY","BORING URBAN DEVELOPMENT 70'S/80'S"
90,"SOUTH OF LIMEKILNS CLOSE - PROPERTIES ON WELLSWAY",2013-11-17,"overcast",,"THERE ARE LIMITED SLOPES DOWN TO THE NORTH",,,brownfield,,,,,,,,groups-of-dwellings,,,,,,,"LIMITED VIEWS TO THE WEST OBSCURED BY HOUSING AND GOOD VIEWS ACROSS THE CRICKET FIELD TO THE EAST",,"RIBBON DEVELOPMENT ON THE WELLSWAY B3116","POOR SCENIC QUALITY TO ALL SIDES DUE TO HOUSING EXCEPT TO THE EAST OVER THE CRICKET FIELD","THE AREA IS MANINLY OCCUPIED BY OLDER DETACHED HOUSING","THERE ARE LARGER OLD HOUSES WITH REASONABLE GARDENS AND A CRICKET FIELD TO THE REAR","PROXIMITY TO THE NARROW PART OF THE BUSY WELLSWAY AND PROXIMITY TO THE CRICKET CLUB HOUSE/BAR"
39,"TREES ESTATE INCLUDING LONGMEADOW ROAD, HOLMOAK ROAD, CEDAR DRIVE, NEWLANDS ROAD, THE BRAMBLES, ACACIA COURT, WALNUT CLOSE, LILAC COURT PLUS WALK, WALNUT WALK, HORNBEAM WALK, LABURNHAM WALK, MAY TREE WALK, OAK TREE WALK, HOLLY WALK, WILLOW WALK, MAPLE WALK AND ROWAN WALK PLUS THE GREEN SPACES PINE, ELM, FIRS & LIME",2014-02-01,"dry",flat,,,,,"HOUSING",,,,,dense-road-network straight narrow,,village(s)/town groups-of-dwellings,,,"NONE VISIBLE",tight large,,glimpsed,,,,"HARMONIOUS","LIVE AND LEISURE","TIGHT HOUSING AREA, NOT MANY POSITIVE FEATURES","OVER DEVELOPED"
40,"HOLMOAK PLAY AREA",2013-11-15,"fine",flat,,parkland,,grassland,,hedgerow fences,,medium regular,,tracks,"FOOTPATHS ONLY",groups-of-dwellings,,,,open small,,channeled,,,"NONE","I FEEL THIS AREA IS VALUABLE TO THE LOCAL COMMUNITY AS IT IS WELL USED IN THE DAY AND EVENINGS. THERE IS A NICE AMBIENCE AND INTERACTION FROM OLD & YOUNG","WALKING DOGS, USE OF PLAY AREA, USE OF MULTI-SPORTS AREA","WELL USED BY YOUNG PEOPLE ESPECIALLY IN THE SUMMER EVENINGS FOR FOOTBALL & BASKET BALL","DOG FAECES, WATER LOGGED GROUND"
104,"WELLSWAY 100 - 138 INCLUDING ECO HOMES",2013-11-10,"fine",flat steep-valley valley-side,"FLAT LAND WHERE PROPERTIES ARE BUILT WITH STEEP VALLEY SLOPE TO REAR.",,"GRAZING FIELDS",grassland grazing brownfield,,intermittent hedgerow trees fences walls,,medium irregular,"ONE LARGE IRREGULAR FIELD",,"SINGLE STRAIGHT ROAD - B3116",village barns,"THE BARNS ARE STABLING FOR HORSES",river,"THE RIVER CHEW IS JUST OUTSIDE THE MAP AREA",open exposed,,sweeping long,"FROM THE REAR OF THE PROPERTIES THERE ARE VIEWS OUT ACROSS THE GREEN BELT AND OPPOSITE VALLEY TO PROPERTIES CURRENTLY BEING CONSTRUCTED ON THE K2B SITE OFF PARK ROAD KEYNSHAM",,"CHEWTON PLACE IS VISIBLE FROM THE MAP AREA","THE REAR OF THE PROPERTIES ARE VERY TRANQUIL WHILST THE FRONT ALTHOUGH A VERY PLEASANT ROAD WITH UP MARKET HOMES HAS ITS PEACE DISTURBED BY THE BUSY B3116. THIS ROAD IS A COMMUNITY SPEED WATCH ZONE TO TRY AND KEEP TRAFFIC WITHIN THE 40 & 30 MPH SPEED LIMITS.","CLOSE TO THE GREEN BELT FOR HOBBIES - WALKING, CYCLING, BIRD WATCHING, FISHING, PHOTOGRAPHY AND PAINTNG","SUPER VIEWS TO THE REAR OF THE PROPERTIES, CLOSE TO THE GREEN BELT","THE BUSY B3116"
82,"SOUTH OF COURTENAY ROAD - TYNING, OAKFIELD, GRANVILLE PROPERTIES PLUS FIELDS BEHIND",2014-01-19,"dull",flat,,farmland-with-trees/woods,,arable-farmland grassland grazing,,clipped hedgerow trees fences,,small large irregular,,narrow,"SINGLE NARROW ROAD (COURTENAY ROAD)",barns wires,"THE FEW MANMADE ELEMENTS SIT WELL WITHIN THE SITE. ANY ADDITIONS WOULD BE AT A DETERMENT TO THE LANDSCAPE",,,open vast,,sweeping,,buildings,"THREE PROPERTIES - GRANVILLE LODGE, OAKFILED AND TYNING","TRANQUIL AREA CLOSE TO MANOR ROAD COMMUNITY WOODLAND AND OPEN COUNTRYSIDE","RAMBLING, DOG WALKING, BIRD WATCHING AND PHOTOGRAPHY","THE SITE BEING IN THE GREEN BELT AND CREATING A DIVIDING SPACE BETWEEN KEYNSHAM AND SALTFORD","THE THREAT OF FUTURE DEVELOPMENTS IN SALTFORD ENCROUCHING TOWARDS THIS SITE."
45,"GREEN BELT WEST OFF WELLSWAY INCLUDING CONYGRE FARM",2014-01-12,"dull",,,,,,,,,,,,"SINGLE TRACK LEADING TO CONYGRE FARM",,"FEW WOODEN POLES CARRYING ELECTRICITY SUPPLIES TO NEARBY VILLAGES",,"THE RIVER CHEW RUNS THROUGH THE VALLEY BASIN",,,,,,"IT IS RUMOURED THAT WAR TIME PONIES THAT DIED OF ANTRAX POSIONING ARE BURIED ON THE WESTERLY VALLEY SLOPE","BEAUTIFUL PIECE OF COUNTRYSIDE, VERY TRANQUIL WHEN WALKING ALONG THE RIVER AT THE VALLEY BASIN","WALKING DOGS, RAMBLING, FISHING, PAINTING, PHOTOGRAPH, SLEDGING IN WINTER.","DELIGHTFUL GREEN VALLEY ON THE EDGE OF A BUSY TOWN","THREAT OF FUTURE BUILDING ON THE TOP OF THE WESTERLY EDGE OF THIS VALLEY"
58,"SOUTH OF ROCK ROAD INCLUDING THE LABBOTTS AND THE CLINIC",2014-03-03,"dry",flat,,,"HOUSING",brownfield,,,,,,few-roads,,groups-of-dwellings wires,"WIRES ARE A NECESSITY",,"NONE",enclosed,,,"NO REAL VIEWS",,,"PLEASANT AREA QUITE SAFE AND PEACEFUL",,"SOCIAL AND ELDERLY PEOPLES HOUSING WITH AREAS OF GREEN SPACE, CLOSE TO LOCAL AMENITIES SHOPS, DOCTORS, CLINICS","PARKING ISSUES ESPECIALLY ALONG ROCK ROAD"
