area-number,character-area,date,weather,topography,topography-text,layout,layout-text,spaces,spaces-text,greenery,greenery-text,wildlife,wildlife-text,roads,roads-text,landmarks,landmarks-text,views-out-text,views-in-text,buildings,buildings-text,roofs,roofs-text,materials,materials-text,details,details-text,positive-text,negative-text
3,KEYNSHAM CEMETERY,05/11/2013,cloudy,,FLAT,,SINGLE CHAPEL BUILDING SET WITHIN THE SITE,,FUNERAL SERVICES HELD IN THE CHAPEL AND CEMETERY GROUNDS,,,,THE AREA IS INHABITED BY WILDLIFE,,,,ST. JOHN'S CHURCH TOWER ON THE HIGH STREET CAN BE SEEN FROM THE CEMETERY,THERE ARE VIEWS OUT OF THE SITE,FROM THE MAIN BRISTOL ROAD THE SITE CAN BE VIEWED.,,"DETACHED MORTUARY CHAPELS - GRADE II LISTED - LISTED ON 17TH, JULY 2000, ENGLISH HERITAGE BUILDING ID; 485048",,THE ROOFS ARE STEEP PITCHED,,"THE CHAPEL IS CONSTRUCTED FROM STONE WITH TILE ROOFS. THE BOUNDARIES ARE WALLS AND HEDGES, THE SITE HAS TARMAC AND CONCRETE ROADWAY AND PATHS",,"THERE IS A CENTRAL ARCHWAY AND SMALL SPIRE, THE CHAPELS WERE CONSTRUCTED BY A KEYNSHAM BUILDER, H SHEPPARD AND CONSECRATED IN APRIL 1878",THE CEMETERY WAS SITED IN THE MIDDLE OF A VERY LARGE ROMAN VILLA IN THE LATE THIRD CENTURY,
41,ABBOTS WOOD PLUS GREEN LAND TO THE SOUTH OF HOLMOAK ROAD,12/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"SOUTH OF BATH ROAD INCLUDING HILLS CLOSE, DERWENT GROVE PROPERTIES ON BATH ROAD AND CHANDAG ROAD",22/01/2014,,shallow,"CHANDAG ROAD HAS A SHALLOW SLOPE NORTHWARDS, BATH ROAD HAS A SHALLOW FLOW EASTWARDS AT THE END OF THE LAST HOUSES - EAST",linear buildings-well-set-back,"LINEAR - BATH ROAD & CHANDAG ROAD WITH A VARIETY OF HOUSES SET WELL BACK WITH GOOD SIZED GARDENS FRONT & BACK. TWO HOTELS BOTH 3 STOREY, ONE ON BATH ROAD ALONGSIDE CHEWTON PLACE CUL-DE-SAC AND ONE AT THE CORNER OF THE JUNCTION OF BATH ROAD AND CHANDAG ROAD.",gaps-between-buildings,WITH THE EXCEPTION OF THE HOUSES IN CHEWTON PLACE THE GAPS BETWEEN HOUSES ARE GOOD. SEMI-DETACHED PROPERTIES HAVE GOOD ACCESS.,,,what-wildlife?,BIRDS OF COMMON VARIETY BUT NOT IN GREAT NUMBERS,cul-de-sacs on-plot-parking on-street-parking,THREE CUL-DE-SACS. PARKING SPACE THROUGHOUT & ACCESS PARKING WITHIN PROPERTIES,,NO,AT THE EASTSIDE OF THE BOUNDARY VIEWING ACROSS THE WELLSWAY ACADEMY & ITS SPORTS FIELDS,NO,semi-detached 1-storey 2-storeys 3-storeys,"QUALITY BUILDS OF VARIOUS SHAPES & HEIGHTS. MOSTLY 2 STOREY. 3 STOREY HOTELS ON BATH ROAD AND THE CORNER OF CHANDAG ROAD, SEVERAL BUNGALOWS ON CHANDAG ROAD",,PITCHED ROOFS MAINLY STEEP,brick stone render walls hedges fences tarmac concrete,,,BALANCED CHARACTER THROUGHOUT THE AREA WITH ONE RESIDENCE DISPLAYING A FLAG.,ALL BUILDINGS ARE GENERALLY WELL MAINTAINED & ATTRACTIVE WITH GOOD & WELL ATTENDED GARDENS AND ROADS OF GOOD QUALITY.,NONE
7,OLD VICARAGE GREEN,20/12/2013,seasonal but wet,flat,SET ON AN ESCARPMENT TO THE NORTH,buildings-well-set-back back-gardens thin-plots short-plots clear-centre,1 LINEAR & 2 IRREGULAR,green-spaces hard-space well-used,COMMUNAL GARDENS OWNED BY MANAGEMENT COMPANY. EACH HOUSE OWNS A SHARE (2 EXEMPTIONS),trees bushes green-backcloth-to-buildings areas-of-intense-greenery,,area-used/inhabited-by-wildlife,"WELL TENDED GARDENS. EXCELLENT TREES AGED AND YOUNG, FOXES, MANY BIRDS",pavements kerbs grass-verges narrow-roads straight-roads curving-roads cul-de-sacs on-plot-parking on-street-parking parking-courts,,,"ST. JOHN'S CHURCH TOWER, SOME HOUSES CAN SEE THE LAST OF THE COTSWOLDS AND FIRST OF THE MENDIPS ON A CLEAR DAY. ST. DUNSTAN'S CHURCH. BRUNEL'S RAILWAY, HANHAM WOODS",HIGH PROPERTIES SO MANY HOUSES HAVE EXCELLENT VIEWS,"THERE ARE VIEWS IN FROM THE CHURCH TOWER, BY PASS BRIDGE, FROM THE RAILWAY LINE",narrow-frontages terraced 3-storeys common-shapes,"51 HOUSES, 4 BLOCKS OF 3 FLATS",flat-roofs parapet-fronts,HUNG TILES,some-common brick stone hung-tile other tarmac paving-stones,"NOT ALL FLATS - WINDOWS ONCE COMMON TO ALL, NOW POSSIBLY 3 DIFFERENT TYPES AS CAN BEEN IN PHOTOS. BOUNDARIES SOME BRICK, SOME STONE & 1 WOODEN FENCE",window-shapes,UNIFORMITY ORIGINALLY. WOODWORK STILL COMMON BUT SOME WINDOW DESIGNS HAVE BEEN CHANGED. SLIDING WOODEN GARAGE DOORS. SOLID WOODEN ENTRANCE DOORS. PLANTER AREAS ABOVE GARAGE.,WHEN BUILT THE ESTATE WAS AWARDED A CIVIC TRUST AWARD. MODERN VERSION OF GEORGIAN CRESCENTS. DESIGNS ECHO ST. JOHN'S CHURCH TOWER.,TOO MANY COMMUTERS THINKS THE ESTATE IS A CAR PARK. SOME OWNERS HAVE ADDED ODD VENTILATORS (SEE PHOTOS) & CHANGED WINDOW PATTERNS
17,ST. LADOC ROAD EAST BETWEEN THE JUNCTION OF BRISTOL ROAD AND JUNCTIONS OF ST. FRANCIS ROAD,,,hilly,,regular buildings-well-set-back back-gardens no-obvious-centre,,gaps-between-buildings,,trees bushes hedges areas-without-greenery,,what-wildlife?,,pavements kerbs grass-verges narrow-roads curving-roads through-roads on-plot-parking on-street-parking,,,"HANHAM HALL, VIEW TO THE COTSWOLD EDGE AND HANHAM MOUNT",,VERY BUILT UP,semi-detached 2-storeys common-shapes,,pitched-roofs varied-pitch,,,ALL PRESENT,,,DISTINCTIVE VERNACULAR ARCHITECTURE,SHABBY FRONT GARDENS (MANY PROPERTIES IN NEED OF MAINTENANCE)
73,AVON VALLEY COUNTRY PARK INCLUDING AVON VALLEY FARM AND AVON VALLEY BUSINESS PARK,28/01/2014,overcast,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KEYNSHAM FOOTBALL CLUB INCLUDING BROADLANDS PLAYING FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,NORTH OF ALBERT ROAD INCLUDING PROPERTIES ON SHERWOOD ROAD,17/11/2013,grey drizzle,hilly,,regular buildings-well-set-back front-gardens,,gaps-between-buildings hard-space,,trees bushes,,area-used/inhabited-by-wildlife,,pavements straight-roads through-roads on-plot-parking parking-courts,,,KEYNSHAM MEMORIAL PARK TREES ARE VISIBLE AT THE BOTTOM OF ALBERT ROAD,THERE ARE VIEWS OUT TO LANSDOWN HILLS AND KELSTON ROUND TOP,VIEWS IN ARE NOT POSSIBLE,semi-detached 2-storeys varied-shapes,"VICTORIAN DETACHED & SEMI DETACHED, 1930'S SEMI DETACHED, 1970'S 'OLD PEOPLES' FLATS, 2000 TERRACED HOUSES",flat-roofs pitched-roofs varied-pitch,,some-common brick stone render tile walls fences setts,"LOCAL KEYNSHAM BLUE LIAS STONE, 'KEYNSHAM' STYLE SASH WINDOWS THAT ARE NOW VERY RARE",,,"VARIETY OF PROPERTY TYPES FROM VICTORIAN SOLID STONE HOUSES TO FLATS FOR ELDERLY PEOPLE, FRONT GARDENS AND SPACE FOR OFF ROAD PARKING, PROXIMITY TO THE TOWN CENTRE MAKING IT EASY TO WALK TO THE SHOPS AND OTHER FACILITIES SUCH AS THE LEISURE CENTRE AND LIBRARY",TRAFFIC ON ALBERT ROAD - BOTH SPEED AND VOLUME OF CARS
84,"THE HOMESTEAD INCLUDING UPLANDS COTTAGES, BURNETT POINT PLUS SURROUNDING FIELDS",17/11/2013,fine,flat hilly valley,PLATEAU FALLING AWAY TO VALLEY BASIN AND RIVER CHEW,linear buildings-well-set-back front-gardens back-gardens long-plots no-obvious-centre,"BUILDINGS SET ON FLAT GROUND TO THE WEST OF THE WELLSWAY INCLUDE BURNETT POINT WHICH IS A SINGLE DWELLING. PROPERTIES FACING THE WELLSWAY ARE LINEAR AND HAVE LONG PLOTS. THE BUILDINGS ARE WELL SET BACK, THE HOMESTEAD HAS GOOD SIZED PLOTS FACING ON TO A NO THROUGH ROAD. THE BUILDINGS ARE OF VARIOUS SHAPES. UPLANDS COTTAGES ARE A SMALL CLUSTER OF COTTAGES",gaps-between-buildings green-spaces well-used,"THERE ARE GAPS BETWEEN THE BUILDINGS ON BOTH SIDES OF THE WELLSWAY AND THE HOMESTEAD ESTATE, BURNETT POINT & UPLAND COTTAGES ARE SURROUNDED BY GREEN SPACE.",trees bushes hedges green-backcloth-to-buildings areas-of-intense-greenery,,area-used/inhabited-by-wildlife,"WILDLIFE IN ABUNDANCE IN OPEN GREEN FIELDS:- FOXES, BADGERS, SQUIRRELS, DEERS, SIGHTINGS OF MINK ON THE RIVER. BIRDS INCLUDING MANY BREEDS OF OWLS, BATS",pavements kerbs grass-verges wide-roads wide-roads-wide narrow-roads straight-roads curving-roads cul-de-sacs on-plot-parking,"WELLSWAY (B3116) GRASS VERGE THEN KERB FROM JUST PAST UPLANDS COTTAGES FOR A SHORT STRETCH, THE MAIN ROAD (B3116) SLOPES GENTLY DOWNHILL TOWARDS KEYNSHAM- IT IS A FAIRLY STRAIGHT SECTION OF ROAD WITH OFF STREET PARKING TO ALL HOMES. HOMESTEAD IS A NO THROUGH ROAD ALL PROPERTIES HAVE ON-PLOT PARKING",,FROM THE HOMESTEAD THE KEYNSHAM HEALTH CENTRE IS CLEARLY VISIBLE,THE AREA HAS EXTENSIVE VIEWS OUT ACROSS THE VALLEY DOWN TO THE RIVER CHEW,THERE ARE VIEWS INTO THE AREA FROM THE OPPOSITE SIDE OF THE VALLEY,wide-frontages terraced detached 1-storey 2-storeys varied-shapes,"BURNETT POINT SITS ON ITS OWN AND IS A DETACHED PROPERTY, UPLANDS COTTAGE ARE OLD STONE DETACHED PROPERTIES AND TERRACED COTTAGES, THERE ARE A FEW INDIVIDUALLY DETACHED 2 STOREY HOMES & BUNGALOWS ON THE B3116, HOMESTEAD ESTATE HAS LARGE DETACHED INDIVIDUALLY STYLED PROPERTIES",pitched-roofs,,some-common brick stone render tile slate walls hedges fences tarmac paving-stones,,porches,PORCHES ON DETACHED PROPERTIES ON THE HOMESTEAD ESTATE,THE CLOSENESS TO THE GREEN BELT,THE BUSY B3116
98,"EAST OF WALDEN ROAD INCLUDING DEVERON GROVE, COLNE GREEN, MINSMERE ROAD, WITHAM ROAD PLUS PROPERTIES ON WINDRUSH ROAD",17/02/2014,raining,flat,AND SLIGHT INCLINE,irregular buildings-well-set-back front-gardens back-gardens no-obvious-centre,,green-spaces,,trees bushes hedges areas-of-intense-greenery,,,PLENTY OF WILDLIFE OPPORTUNITY BUT SURVEY DONE FROM THE CAR DUE TO THE WEATHER.,pavements kerbs grass-verges wide-roads straight-roads curving-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,,,,OCCASIONAL GLIMPSES OF LONG VIEWS,IT FEELS AS THOUGH WE'RE ON THE TOP OF A HILL,terraced semi-detached 2-storeys varied-shapes,AND LINK DETACHED & FLATS,pitched-roofs steep-pitch varied-pitch,,,VARIED MATERIALS,porches window-shapes,,LOTS OF GREENERY AND A SPACIOUS FEEL,NO SHOPS! I DID NOT SEE ANY PLAYGROUND EQUIPMENT OR BENCHES OR BUS STOPS
30,DOWNFIELD PLAY AREA,20/11/2013,,flat,,buildings-close-to-the-road back-gardens,,well-used,,green-backcloth-to-buildings,,,WILD BIRDS,pavements grass-verges,,,LARGE OAK TREE,ENCLOSED AREA SURROUNDED BY HOUSING - NO VIEWS OUT,NO VIEWS IN,2-storeys 3-storeys varied-shapes,,flat-roofs pitched-roofs,FLATS AND GARAGES HAVE FLAT ROOFS,,TARMAC & WET POUR SURFACES IN PLAY AREA. SURROUNDED BY GRASS,,CHAIN LINK FENCING SURROUNDING PLAY AREA,WELL USED PLAY AREA,OVERLOOKED BY FLATS
89,"SOUTH OF SEVERN WAY INCLUDING KENNET ROAD, WELLAND ROAD, TAMAR DRIVE PLUS PROPERTIES ON CHANDAG ROAD",,,flat,,grid-like buildings-close-to-the-road front-gardens back-gardens no-obvious-centre,,green-spaces,THE CRICKET GROUND IS CLOSE BY,trees bushes hedges,,area-used/inhabited-by-wildlife,"BIRDS - COMMON TO THE GARDEN, TREES AND SHRUBS IN GARDENS",pavements kerbs narrow-roads straight-roads cul-de-sacs on-plot-parking,,,THE CRICKET GROUND,KELSTON TUMP,FROM THE CRICKET GROUND,semi-detached 2-storeys,,pitched-roofs,,brick tile walls hedges fences,,porches window-shapes,,QUIET PEACEFUL IN THE MAIN - EXCEPT WHERE THE AREA BOUNDS CHANDAG ROAD WHICH IS A MAIN ROAD THROUGH THE ESTATE,NONE
31,"WEST OF CHARLTON PARK INCLUDING PROPERTIES ON CHARLTON ROAD, QUEENS ROAD AND KELSTON ROAD",28/01/2014,drizzling,flat,,linear regular buildings-well-set-back front-gardens back-gardens long-plots thin-plots no-obvious-centre,,gaps-between-buildings green-spaces,"THERE IS A NARROW GREEN CORRIDOR ALONG THE FOOTPATH THAT CONNECTS CHARLTON PARK AND KELSTON ROAD, THE SITE IS VERY CLOSE TO THE LARGE GREEN SPACE AND PLAY AREA OF TINTAGEL TO THE WEST",trees bushes hedges areas-without-greenery,,,MAINLY BIRDS,pavements kerbs wide-roads wide-roads-wide straight-roads curving-roads on-plot-parking on-street-parking parking-courts,SOME AREAS HAVE A LOT OF ON STREET PARKING,,NO LANDMARKS,NO VIEWS OUT,ONLY VIEWS IN TO ESTATE ROADS,wide-frontages semi-detached 2-storeys varied-shapes,NUMEROUS STYLES OF HOUSING BUILT AT DIFFERENT PERIODS OF TIME. LARGE VETERINARY SURGERY ON THE CORNER OF CHARLTON PARK AND QUEENS ROAD,pitched-roofs varied-pitch,,nothing-common stone render walls hedges fences tarmac,,,PROPERTIES TO THE NORTH OF THE SITE FACING ON TO CHARLTON ROAD HAVE BALCONIES WITH BALUSTRADE,"THE SITE IS EQUAL DISTANCE BETWEEN TWO PRIMARY SCHOOLS - ST. KEYNA AND ST. JOHN'S, THE ESTATE IS NOT FAR FROM THE TOWN CENTRE AND IS JUST OFF THE MAIN PUBLIC TRANSPORT ROUTES.",CLOSE TO SOCIAL HOUSING AREA OF TINTAGEL WHICH IN THE PAST HAS BEEN KNOW FOR PROBLEMS. THE COMMUNITY ARE WORKING TO IMPROVE THIS ESTATE BY PROVIDING YOUTH ACTIVITIES.
87,"WEST OF CHANDAG ROAD INCLUDING LIMEKILNS CLOSE AND SEVERN WAY PLUS PROPERTIES ON BATH ROAD, CHANDAG ROAD AND WELLSWAY",27/11/2013,overcast,steep,DOWN TO THE NORTH IT IS STEEPEST IN THE CENTRAL AREA,grid-like winding buildings-well-set-back front-gardens back-gardens long-plots,,gaps-between-buildings green-spaces well-used,"CENTRAL GREEN SPACE LEFT BY DEVELOPER, SHARPLY SLOPES DOWN TO THE NORTH",trees bushes areas-of-intense-greenery,AREAS OF INTENSE GREENERY IN THE CENTRAL DEVELOPMENT OF LIMEKILNS CLOSE,inhabited-by-wildlife,"FOXES, OWLS, SQUIRRELS, WOODPECKERS",pavements straight-roads cul-de-sacs on-plot-parking,,,"SMALL INDUSTRIAL AREA TO THE NORTH, SURGERY AND CRICKET GROUND TO THE SOUTH, PETROL STATION AND ELECTRIC SUB STATION TO THE NORTH",THERE ARE SOME VIEWS OUT FROM WELLSWAY TO KEYNSHAM SOUTH & ACROSS THE CHEW RIVER,THE CENTRAL AREA IS VERY DISCREET AND SHIELDED BY HOUSES AND TREES,detached 2-storeys varied-shapes,"ON THE NORTH SIDE OF THE SITE AREA THERE IS A GARAGE AND OLDER TERRACED PROPERTIES. CHANDAG ROAD HAS VARIED PROPERTIES INCLUDING BUNGALOWS. THE SOUTH SIDE OF THE SITE AREA HAS 1950'S SEMI DETACHED PROPERTIES, TO THE WEST THERE ARE LARGE DETACHED PROPERTIES.",pitched-roofs varied-pitch,,some-common stone tarmac paving-stones,THERE IS PAVING THE CENTRAL PARTS OF THE ESTATE,porches window-shapes,OVERALL VARIETY OF HOUSE DESIGNS AFFORDING GOOD QUALITY HOMES,"THE MAJORITY OF THE HOUSES ARE LARGE AND DETACHED PROVIDING A PLEASANT HOUSING ENVIRONMENT, ON THE NORTHERN EDGE THERE ARE DIFFERENT TERRACED HOUSES ON THE BUSY A4 PLUS A LARGE PETROL STATION","TRAFFIC DETRACTS ON 3 SIDES NORTH, EAST AND WEST BUT OVERALL IT IS A PLEASANT ENVIRONMENT ESPECIALLY IN THE CENTRAL AREA."
61,"TEMPLE STREET INCLUDING 2 PROPERTIES ON ROCK ROAD, LABBOTTS CAR PARKS - Note map area not in Conservation Area",14/11/2013,showery/sunny & cloudy,flat,,,"AT THE FRONT OF THE SITE THE BUILDINGS ARE CLOSE TO THE ROAD AND REGULAR, AT THE BACK OF THE SITE THE BUILDINGS ARE IRREGULAR",gaps-between-buildings hard-space well-used,THE REAR AREA OF THE SITE MAP AREA IS USED FOR CAR PARKING,,,,THE AREA IS NOT USED FOR WILDLIFE AT ALL,,THERE ARE PAVEMENTS WITH KERBS. THE ROADS ARE STRAIGHT AND TO THE REAR OF THE SITE THE ROADS ARE NARROW. THERE IS ON-PLOT PARKING AND PARKING COURTS.,,"ST. JOHN'S CHURCH TOWER CAN BE SEEN IN THE DISTANCE, THE TROUT PUB IS ON TEMPLE STREET.",THERE ARE NO VIEWS OUT,THERE ARE NO VIEWS IN,,"THE BUILDINGS HAVE NARROW FRONTAGES AND ARE EITHER TERRACED OR SEMI-DETACHED. THE BUILDINGS ARE EITHER 2 STOREY OR 3 STOREY AND ARE OF VARIED SHAPES. THE BUILDINGS ARE VARIOUS - SOME NEW, SOME OLD AND CONSIST OF RETAIL SHOPS, HOUSES AND OFFICES",,THE ROOFS TO MOST BUILDINGS ARE PITCHED. THE ROOFS ON THE DOMESTIC GARAGES ARE FLAT,nothing-common tile tarmac,VARIOUS MATERIALS HAVE BEEN USED - SOME OLD & SOME NEW PLUS A MIX OF BOTH,,THE FRONTAGE OF THE SHOPS ARE TERRACED AND HAVE SOME CHARACTER. TO THE REAR THERE IS NO CHARACTER AS THE ARES IS MOSTLY CAR PARKING.,"PROVISION OF SERVICES, HEALTH, RETAIL SHOPS, RESTAURANTS ETC. THESE ARE NOT SPECIAL BUT FUNCTIONAL",THE MIX OF STYLES AND LACK OF CHARACTER. 70'S/80'S STYLE HOUSING AT THE REAR
60,CARPENTERS LANE INCLUDING SHERWOOD CLOSE,06/03/2014,dry,flat,,grid-like buildings-well-set-back clear-centre,"COMMUNAL GARDENS, CARPENTERS LANE RESIDENTS MEETING ROOM FORMS THE CENTRE OF THE ASSESSMENT AREA",gaps-between-buildings green-spaces hard-space places-where-local-events-take-place well-used,COMMUNITY ACTIVITIES FOR SHELTERED HOUSING RESIDENTS,trees bushes hedges areas-of-intense-greenery,,area-used/inhabited-by-wildlife,JUST BIRDS,pavements kerbs cul-de-sacs on-street-parking parking-courts,,,THERE ARE PUBLIC HOUSES CLOSE BY ON TEMPLE STREET,NO VIEWS,NO REAL VIEWS IN,terraced semi-detached 1-storey 2-storeys common-shapes,"TWO STOREY PROPERTIES ARE SHELTERED FLAT ACCOMMODATION, SINGLE STOREY BUNGALOWS AND SINGLE STOREY MEETING ROOM",pitched-roofs varied-pitch,,some-common brick stone render tile fences tarmac concrete,,,,GOOD SHELTERED HOUSING ACCOMMODATION CLOSE TO TOWN CENTRE AMENITIES,NO SHELTER FOR THE MANY MOBILITY SCOOTERS ON THE ESTATE. THESE ARE STORED INDIVIDUALLY AT THE FRONT OF PROPERTIES UNDER COVERS.
9,STOCKWOOD VALE 2,04/11/2013,overcast,flat hilly steep,A LARGE FLAT AREA THAT SLOPES STEEP TO A STREAM ALONG ONE BOUNDARY,,THE LARGE FLAT AREA IS TAKEN UP WITH A GOLF COURSE AND LARGE DETACHED HOUSES IN BIG PLOTS. FIELD TO ONE SIDE.,,MAINLY GREEN SPACES USED SOLELY BY GOLFERS WITH NO FOOTPATHS,,,,"INTENSELY INHABITED BY AN ASSORTMENT OF WILDLIFE - DEERS, FOXES, BADGERS, PHEASANTS ETC.; THERE ARE TREES ON A SLOPE LEADING TO A STREAM",,ONE LONG NARROW CURVING ROAD WITH VERGES THAT TERMINATES IN THE AREA. THERE IS VERY LIMITED ON-SITE PARKING,,A SMALL PART OVERLOOKS KEYNSHAM FROM AFAR,FROM CERTAIN PARTS A DISTANCE OF SEVERAL MILES CAN BE SEEN,FROM THE OPPOSITE SIDE OF THE VALLEY PARTS OF THIS AREA CAN BE SEEN,,"GOLF CLUB HOUSE AND ANCILLARY BUILDINGS, A ROW OF TWO STOREY PITCHED ROOFED SEMI DETACHED HOUSES, ASSORTED VERY LARGE DETACHED HOUSES.",,ASSORTED PITCHED ROOFS,,"THE HOUSES THAT ARE WITHIN THE MAP AREA ARE BRICK, RENDERED AND HAVE TILED OR SLATE ROOFS. THERE ARE SOME WALLS, SOME HEDGES. THERE IS A VERY ROUGHLY TARMACED LANE",,,THIS IS A LARGE AREA OF COUNTRYSIDE WITH SOME OF IT GIVEN OVER TO A GOLF COURSE.,THERE ARE NO FOOTPATHS TO EXPLORE THE AREA. SOME MIGHT CONSIDER THE GOLF COURSE UNSIGHTLY!
25,"WEST OF WEST VIEW ROAD TO CHARLTON ROAD INCLUDING ST. KEYNA ROAD, WESTBOURNE AVENUE AND PROPERTIES ON WEST VIEW ROAD, CHARLTON ROAD AND HANDEL ROAD",11/12/2013,overcast,,GENTLY SLOPING,irregular front-gardens,"AMBULANCE CENTRE TO ONE SIDE OF WEST VIEW ROAD, ASSORTED SIZED PLOTS ALL WITH SMALL FRONT GARDENS",,"THERE ARE NO GREEN SPACES - THE MAP AREA IS ALL HOUSE, GARDENS, ROADS AND FOOTPATHS.",,,not-used-at-all,,pavements kerbs grass-verges narrow-roads on-plot-parking on-street-parking,,,"ST. JOHN'S CHURCH, KEYNSHAM, CHURCH SPIRE CAN BE SEEN FROM THIS AREA OF TOWN",NO VIEWS OUT AS THE SITE AREA IS SURROUNDED BY HOUSING,THE ONLY VIEWS IN ARE VIA THE ACCESS ROADS,terraced semi-detached 2-storeys,,pitched-roofs,,tile walls hedges fences tarmac,"50% STONE - VICTORIAN PROPERTIES, 50% BRICK/RENDERED PROPERTIES OF A LATER PERIOD",,DORMER WINDOW AND ROOFS ABOVE. FRONT BALCONIES,WELL KEPT PRIVATE RESIDENTIAL AREA,"THERE ARE NO GREEN SPACES, THERE ARE PARKING PROBLEMS IN THIS AREA."
34,TINTAGEL ESTATE INCLUDING QUEENS ROAD METHODIST CHURCH,03/03/2014,dry,flat,,grid-like irregular buildings-well-set-back front-gardens back-gardens short-plots no-obvious-centre,SEVERAL GRID LIKE FEATURES WITHIN THE SITE MAP AREA,green-spaces hard-space well-used,,trees bushes hedges green-backcloth-to-buildings areas-of-intense-greenery,,,ONLY BIRDS,pavements kerbs grass-verges narrow-roads cul-de-sacs parking-courts,SOME GARAGES,,QUEENS ROAD METHODIST CHURCH WITHIN THE SITE AREA,THERE ARE VIEWS OUT ACROSS THE PLAYING FIELDS AND PLAYGROUNDS TO OTHER NEARBY ESTATES,VIEWS IN FROM THE TOP OF THE SOCIAL HOUSING FLATS,terraced 2-storeys 3-storeys common-shapes,THE CENTRE OF THE SITE IS OCCUPIED BY A FOUR BLOCKS OF THREE STOREY FLAT ACCOMMODATION IN A SQUARE HORSE SHOE SHAPE,flat-roofs pitched-roofs shallow-pitch,THE THREE STOREY HOUSING AND THE METHODIST CHURCH BOTH HAVE FLAT ROOFS,some-common brick render tile walls hedges fences tarmac concrete,,,,"YOUNG CHILDREN/TEENAGERS HAVE THE USE OF AN OPEN GREEN SPACE, PLAYGROUNDS AND A BMX TRACK, CLOSE TO AMENITIES SCHOOLS AND SHOPS",DEPRIVED AREA KNOWN FOR PROBLEMS WITH GRAFFITI AND ANTI SOCIAL BEHAVIOUR. THE BUILDINGS ARE A BIT NEGLECTED AND NOT LOOKED AFTER THAT WELL BY THE RESIDENTS. THE PUBLIC SPACE SUFFERS FROM LITTER ALTHOUGH BINS ARE PROVIDED
29,LAYS FARM TRADING ESTATE,01/12/2013,cloudy,hilly plateau,STARTING TO LEVEL OUT AFTER THE TOP OF THE HILL. THE INDUSTRIAL ESTATE IS SURROUNDED BY TREES,grid-like irregular buildings-well-set-back no-obvious-centre,THE BUILDINGS ON THIS SITE ARE NOW INDUSTRIAL AND WERE CONVERTED FROM A PIG FARM IN THE 1970'S,gaps-between-buildings green-spaces,"THE BUILDINGS ARE MAINLY INDUSTRIAL UNITS, CONVERTED FROM AGRICULTURAL BUILDINGS. THERE ARE GREEN FIELDS TO THE WEST WHICH ARE AGRICULTURAL AND ARE STILL IN USE.",trees hedges green-backcloth-to-buildings,INDUSTRIAL ESTATE SET IN FARMLAND,area-used/inhabited-by-wildlife area-used-for-wildlife-to-pass-through,OPEN FIELDS PRESUMABLY CONTAIN A VARIETY OF PLANTS AND WILDLIFE,drainage-ditches,"MAINLY TEMPORARY PARKING, ONE RESIDENTIAL BUILDING WHICH WAS ORIGINALLY A FARMHOUSE",,THE ORIGINAL FARMHOUSE,THERE ARE GOOD VIEWS OF AVON VALLEY,VIEWS IN ARE NOT EASILY VISIBLE,1-storey varied-shapes,THE MAJORITY OF THE BUILDINGS ARE CONVERTED FROM ORIGINAL AGRICULTURAL STRUCTURES,flat-roofs pitched-roofs lean-tos,THERE IS A VARIETY OF ROOFING STYLES,some-common concrete,EXTENSIVE USE OF BREEZE BLOCKS AND CONCRETE. THERE IS SOME CORRUGATED IRON FOR THE ROOFING. MAINLY ADAPTED AGRICULTURAL BUILDINGS WITH CONCRETE FLOORS,,ORIGINAL USE OF FARM BUILDINGS- BUILT FOR STORAGE,A PLEASANTLY SITUATED TRADING ESTATE ON THE OUTSKIRTS OF TOWN PROVIDING A VALUABLE SERVICE TO THE PEOPLE OF KEYNSHAM,RATHER UNTIDY. SOME OF THE BUILDINGS HAVE NOT BEEN MAINTAINED WELL
102,"SOUTH OF MANOR ROAD INCLUDING WAVENEY ROAD, EVENLODE WAY, CONWAY GREEN PLUS PROPERTIES ON HURN LANE, MEDWAY DRIVE AND ON MANOR ROAD",15/12/2013,,hilly,,front-gardens back-gardens long-plots,,gaps-between-buildings,,,,inhabited-by-wildlife,,pavements kerbs cul-de-sacs on-plot-parking on-street-parking,,,"KEYNSHAM HEALTH CENTRE, THE TOWER CRANE AT THE TOWN CENTRE REDEVELOPMENT",VIEWS OUT OVERLOOKING THE CHEW VALLEY,THERE AE NO VIEWS IN,semi-detached 1-storey 2-storeys varied-shapes,,pitched-roofs,,some-common,PROPERTIES ARE MAINLY WHITE OR CREAM COLOURED RENDER,porches chimneys,,QUIET AND UNASSUMING,
